1,"['260', '1270', '296', '1196', '356', '318', '593', '608', '1198', '480', '1210', '858', '2571', '780', '1580', '589', '527', '1097', '2858', '1240']"
2,"['318', '380', '595', '344', '231', '316', '597', '780', '1', '32', '434', '260', '34', '329', '608', '648', '288', '736', '2571', '1196']"
3,"['480', '260', '2571', '589', '1', '1196', '1270', '457', '1198', '4993', '47', '364', '150', '590', '380', '780', '50', '5952', '608', '4306']"
4,"['593', '318', '2571', '110', '1', '527', '457', '608', '780', '592', '2858', '47', '377', '2028', '150', '50', '595', '2762', '32', '4993']"
5,"['296', '318', '593', '480', '260', '2571', '1', '1270', '527', '110', '589', '2858', '4993', '1580', '1196', '457', '1198', '2959', '5952', '780']"
6,"['356', '296', '318', '260', '593', '1196', '1270', '1198', '4993', '2858', '480', '1', '2959', '1210', '527', '2762', '1580', '589', '608', '2028']"
7,"['296', '593', '457', '527', '150', '2571', '608', '32', '47', '344', '50', '1580', '648', '231', '597', '165', '2858', '1265', '858', '2028']"
8,"['480', '1', '4306', '1580', '608', '780', '588', '364', '1240', '1721', '377', '150', '590', '380', '6539', '1036', '592', '1097', '5349', '1682']"
9,"['356', '296', '260', '480', '1196', '110', '1270', '2858', '589', '1198', '780', '457', '50', '1210', '588', '858', '1580', '590', '150', '2959']"
10,"['356', '260', '296', '593', '480', '1270', '589', '527', '110', '1', '2858', '608', '2028', '457', '1580', '2762', '2959', '4993', '858', '47']"
11,"['356', '318', '593', '2571', '260', '2959', '480', '1270', '1', '1196', '4993', '527', '1198', '2858', '5952', '110', '858', '7153', '608', '589']"
12,"['356', '260', '296', '593', '318', '2571', '1270', '2858', '480', '1196', '1', '1198', '1210', '1580', '780', '527', '2762', '589', '110', '858']"
13,"['593', '260', '1270', '589', '1196', '5952', '1198', '2959', '457', '588', '364', '2858', '7153', '1210', '2028', '150', '50', '1580', '780', '592']"
14,"['260', '356', '2571', '1270', '1210', '593', '1580', '1198', '2858', '2762', '480', '318', '1', '296', '4993', '2028', '588', '1265', '589', '2959']"
15,"['595', '1080', '337', '2081', '2804', '1090', '1028', '1278', '141', '3753', '1374', '1282', '1641', '368', '2470', '1285', '596', '41566', '2529', '2001']"
16,"['356', '296', '593', '2571', '260', '480', '2959', '1270', '1196', '4993', '1198', '1', '5952', '2762', '2028', '110', '858', '589', '4306', '47']"
17,"['1196', '1198', '1', '589', '110', '780', '457', '588', '364', '1097', '150', '380', '592', '1197', '2716', '1291', '6539', '1682', '2628', '648']"
18,"['1', '1073', '356', '296', '480', '593', '1210', '318', '457', '589', '110', '380', '150', '3', '1356', '590', '592', '588', '47', '377']"
19,"['2571', '2858', '1580', '2028', '2762', '587', '539', '1721', '4993', '2959', '1704', '5952', '2716', '1617', '919', '2628', '2918', '3578', '4306', '7153']"
20,"['589', '47', '377', '50', '2858', '5952', '2028', '648', '165', '1265', '4306', '1721', '1240', '1197', '1036', '1291', '3578', '1704', '587', '586']"
21,"['318', '110', '1', '588', '608', '2571', '150', '364', '50', '1580', '2858', '2028', '500', '367', '1197', '2762', '231', '4993', '165', '2959']"
22,"['318', '1', '110', '527', '780', '2028', '364', '608', '50', '380', '377', '1265', '590', '150', '1036', '367', '2628', '344', '1197', '1704']"
23,"['364', '4306', '377', '500', '367', '1923', '231', '1214', '919', '1073', '1200', '736', '8961', '1968', '2797', '3793', '1259', '587', '733', '2791']"
24,"['480', '593', '318', '110', '589', '344', '364', '1', '595', '377', '260', '47', '32', '527', '231', '608', '153', '367', '500', '597']"
25,"['1', '648', '736', '296', '356', '733', '1210', '593', '318', '480', '1196', '589', '110', '1198', '1270', '2571', '6', '527', '457', '858']"
26,"['4993', '1270', '110', '7153', '527', '2762', '364', '588', '150', '592', '1240', '1265', '590', '1704', '4886', '1721', '5349', '6377', '1682', '231']"
27,"['318', '356', '2571', '260', '480', '608', '1196', '2959', '1270', '1198', '110', '1', '2028', '47', '589', '858', '457', '4993', '588', '1210']"
28,"['356', '593', '296', '260', '318', '527', '1196', '1198', '1270', '608', '2858', '858', '480', '1210', '1', '50', '1193', '589', '457', '1580']"
29,"['356', '260', '296', '318', '593', '4993', '2959', '1196', '5952', '1', '1270', '480', '7153', '1210', '2858', '1198', '1580', '2762', '4306', '858']"
30,"['648', '5952', '1136', '2628', '367', '231', '7153', '2997', '316', '5349', '39', '153', '293', '6539', '3793', '223', '2683', '778', '1527', '2706']"
31,"['356', '593', '1196', '1270', '1198', '1', '480', '2858', '1210', '4306', '608', '2762', '110', '589', '47', '1580', '3578', '780', '1265', '1704']"
32,"['593', '318', '47', '500', '527', '597', '253', '454', '10', '329', '780', '1', '587', '185', '50', '34', '32', '539', '260', '339']"
33,"['356', '296', '260', '318', '593', '2571', '1270', '2858', '480', '1210', '1', '2762', '1580', '527', '589', '608', '4993', '858', '1265', '2028']"
34,"['356', '318', '480', '1210', '1', '457', '780', '590', '588', '592', '380', '2959', '1265', '364', '4993', '1197', '1721', '1291', '5952', '1136']"
35,"['296', '356', '593', '260', '608', '318', '527', '480', '1196', '1', '1270', '457', '1198', '589', '780', '2858', '50', '110', '1210', '590']"
36,"['150', '380', '589', '110', '364', '47', '595', '377', '344', '1', '780', '608', '231', '500', '316', '367', '153', '34', '648', '349']"
37,"['356', '318', '296', '593', '260', '2571', '480', '1270', '1198', '527', '1210', '2762', '4993', '588', '1580', '2959', '858', '110', '589', '608']"
38,"['260', '480', '1196', '1198', '1270', '1', '589', '50', '2028', '4306', '2762', '1210', '457', '608', '150', '780', '1580', '592', '380', '377']"
39,"['356', '480', '318', '589', '364', '377', '527', '780', '367', '1', '32', '500', '260', '597', '349', '292', '329', '208', '454', '608']"
40,"['2571', '318', '356', '296', '5952', '593', '1270', '1', '4306', '1210', '858', '480', '2028', '527', '2858', '6539', '2762', '3578', '4886', '589']"
41,"['296', '480', '593', '318', '589', '1', '1198', '588', '527', '32', '590', '47', '364', '608', '4993', '150', '2762', '2028', '50', '5952']"
42,"['593', '1', '1270', '2959', '47', '4306', '150', '364', '1580', '592', '2858', '2762', '50', '590', '858', '377', '3578', '608', '32', '1240']"
43,"['296', '593', '318', '260', '2571', '1270', '1196', '457', '1198', '364', '2762', '780', '380', '377', '590', '1265', '2028', '47', '592', '150']"
44,"['608', '356', '1073', '296', '480', '593', '318', '1210', '589', '457', '110', '380', '150', '588', '592', '364', '36', '590', '377', '527']"
45,"['356', '296', '2858', '2571', '318', '593', '260', '1270', '480', '1196', '2762', '527', '1198', '2959', '608', '1580', '4993', '1', '5952', '2028']"
46,"['2571', '260', '356', '318', '1196', '296', '593', '1198', '1', '2959', '480', '4306', '1210', '2762', '2858', '527', '2028', '858', '6539', '589']"
47,"['356', '480', '590', '318', '589', '364', '47', '377', '527', '367', '500', '597', '780', '454', '260', '185', '587', '34', '539', '648']"
48,"['318', '260', '1196', '1198', '589', '2858', '1210', '47', '2028', '780', '50', '1265', '608', '588', '1704', '4963', '1036', '32', '33794', '6874']"
49,"['260', '296', '480', '593', '318', '589', '1270', '1', '110', '2571', '527', '457', '588', '608', '380', '32', '364', '150', '1097', '377']"
50,"['593', '592', '318', '588', '364', '595', '500', '153', '1', '329', '50', '32', '260', '34', '648', '586', '288', '608', '736', '2571']"
51,"['2858', '2762', '356', '260', '1270', '2571', '2716', '593', '1580', '296', '1210', '1196', '1198', '2959', '318', '480', '1265', '2028', '2628', '608']"
52,"['356', '2571', '318', '593', '296', '4993', '260', '5952', '4306', '2959', '2762', '1270', '1', '7153', '480', '527', '1198', '1196', '1580', '3578']"
53,"['356', '296', '593', '2858', '260', '480', '318', '2571', '1270', '527', '1196', '589', '1', '1198', '1210', '2028', '110', '2959', '608', '588']"
54,"['356', '296', '260', '593', '4993', '2959', '5952', '1270', '7153', '1196', '1198', '1', '480', '4306', '527', '2028', '858', '2858', '58559', '110']"
55,"['356', '296', '480', '593', '1210', '318', '589', '457', '110', '62', '380', '25', '36', '150', '364', '588', '590', '592', '1196', '3']"
56,"['2571', '858', '589', '2762', '110', '608', '1580', '780', '3578', '364', '588', '6539', '32', '150', '4963', '5349', '592', '380', '590', '367']"
